city,district,houseType,area,direction,furnish,floor,finishTime,structure,unknown,price,totalPrice
沈阳,法库县,2室2厅,100.2平米,南 北,其他,中楼层(共6层),2009年建,板楼,7,493元/平,75万
沈阳,法库县,2室1厅,71.86平米,南 北,精装,中楼层(共13层),2018年建,板楼,10,270元/平,73.8万
沈阳,法库县,3室2厅,166.59平米,南 北,精装,高楼层(共11层),2006年建,板楼,6,544元/平,109万
沈阳,法库县,3室1厅,121.21平米,南 北,精装,中楼层(共24层),2008年建,板楼,6,848元/平,83万
沈阳,法库县,3室2厅,127.5平米,南 北,精装,中楼层(共7层),2021年建,板楼,9,569元/平,122万
沈阳,法库县,4室2厅,143.15平米,南 北,毛坯,高楼层(共33层),2019年建,板塔结合,15,229元/平,218万
沈阳,法库县,2室2厅,89.18平米,南 北,毛坯,低楼层(共17层),2019年建,板楼,5,944元/平,53万
沈阳,法库县,3室1厅,125.67平米,南 北,毛坯,中楼层(共11层),2016年建,板楼,8,754元/平,110万
沈阳,法库县,2室1厅,74.97平米,南 北,精装,高楼层(共18层),2017年建,板楼,5,336元/平,40万
沈阳,法库县,2室2厅,72.51平米,南,精装,低楼层(共29层),2017年建,板楼,8,275元/平,60万
沈阳,法库县,2室1厅,63.16平米,南 西 北,精装,低楼层(共30层),2014年建,板楼,5,700元/平,36万
沈阳,法库县,2室2厅,96.49平米,北 南,其他,中楼层(共7层),2005年建,板楼,6,011元/平,58万
沈阳,法库县,2室1厅,71.57平米,南,毛坯,中楼层(共29层),2017年建,板塔结合,8,104元/平,58万
沈阳,法库县,3室2厅,128.94平米,南 北,精装,中楼层(共27层),2020年建,板楼,11,479元/平,148万
沈阳,法库县,2室2厅,123平米,北 南,毛坯,低楼层(共34层),2016年建,板楼,8,537元/平,105万
沈阳,法库县,2室2厅,102.9平米,南 北,毛坯,高楼层(共6层),2009年建,板楼,12,634元/平,130万
沈阳,法库县,2室1厅,71.18平米,东 南 西,简装,高楼层(共33层),2017年建,板塔结合,10,116元/平,72万
沈阳,法库县,2室2厅,105.4平米,南 北,精装,中楼层(共7层),2007年建,板楼,8,065元/平,85万
沈阳,法库县,3室1厅,159.36平米,南 北,简装,低楼层(共6层),2012年建,板楼,18,198元/平,290万
沈阳,法库县,4室2厅,112.67平米,南 北,精装,高楼层(共5层),2018年建,板楼,12,870元/平,145万
沈阳,法库县,3室2厅,163.53平米,南,精装,高楼层(共26层),2006年建,板塔结合,13,759元/平,225万
沈阳,法库县,4室2厅,157.37平米,南 北,精装,中楼层(共33层),2018年建,板塔结合,18,301元/平,288万
沈阳,法库县,2室2厅,83.2平米,南 北,简装,中楼层(共6层),2001年建,板楼,6,611元/平,55万
沈阳,法库县,3室1厅,114.2平米,南 北,简装,低楼层(共24层),2013年建,板楼,6,130元/平,70万
沈阳,皇姑,2室2厅,100.1平米,南 北,其他,中楼层(共6层),2009年建,板楼,7,493元/平,75万
沈阳,皇姑,2室1厅,71.86平米,南 北,精装,中楼层(共13层),2018年建,板楼,10,270元/平,73.8万
沈阳,皇姑,3室2厅,166.59平米,南 北,精装,高楼层(共11层),2006年建,板楼,6,544元/平,109万
沈阳,皇姑,3室1厅,121.21平米,南 北,精装,中楼层(共24层),2008年建,板楼,6,848元/平,83万
沈阳,皇姑,3室2厅,127.5平米,南 北,精装,中楼层(共7层),2021年建,板楼,9,569元/平,122万
沈阳,皇姑,4室2厅,143.15平米,南 北,毛坯,高楼层(共33层),2019年建,板塔结合,15,229元/平,218万
沈阳,皇姑,2室2厅,89.18平米,南 北,毛坯,低楼层(共17层),2019年建,板楼,5,944元/平,53万
沈阳,皇姑,3室1厅,125.67平米,南 北,毛坯,中楼层(共11层),2016年建,板楼,8,754元/平,110万
沈阳,皇姑,2室1厅,74.97平米,南 北,精装,高楼层(共18层),2017年建,板楼,5,336元/平,40万
沈阳,皇姑,2室2厅,72.51平米,南,精装,低楼层(共29层),2017年建,板楼,8,275元/平,60万
沈阳,皇姑,2室1厅,63.16平米,南 西 北,精装,低楼层(共30层),2014年建,板楼,5,700元/平,36万
沈阳,皇姑,2室2厅,96.49平米,北 南,其他,中楼层(共7层),2005年建,板楼,6,011元/平,58万
沈阳,皇姑,2室1厅,71.57平米,南,毛坯,中楼层(共29层),2017年建,板塔结合,8,104元/平,58万
沈阳,皇姑,3室2厅,128.94平米,南 北,精装,中楼层(共27层),2020年建,板楼,11,479元/平,148万
沈阳,皇姑,2室2厅,123平米,北 南,毛坯,低楼层(共34层),2016年建,板楼,8,537元/平,105万
沈阳,皇姑,2室2厅,102.9平米,南 北,毛坯,高楼层(共6层),2009年建,板楼,12,634元/平,130万
沈阳,皇姑,2室1厅,71.18平米,东 南 西,简装,高楼层(共33层),2017年建,板塔结合,10,116元/平,72万
沈阳,皇姑,2室2厅,105.4平米,南 北,精装,中楼层(共7层),2007年建,板楼,8,065元/平,85万
沈阳,皇姑,3室1厅,159.36平米,南 北,简装,低楼层(共6层),2012年建,板楼,18,198元/平,290万
沈阳,皇姑,4室2厅,112.67平米,南 北,精装,高楼层(共5层),2018年建,板楼,12,870元/平,145万
沈阳,皇姑,3室2厅,163.53平米,南,精装,高楼层(共26层),2006年建,板塔结合,13,759元/平,225万
沈阳,皇姑,4室2厅,157.37平米,南 北,精装,中楼层(共33层),2018年建,板塔结合,18,301元/平,288万
沈阳,皇姑,2室2厅,83.2平米,南 北,简装,中楼层(共6层),2001年建,板楼,6,611元/平,55万
沈阳,皇姑,3室1厅,114.2平米,南 北,简装,低楼层(共24层),2013年建,板楼,6,130元/平,70万
沈阳,铁西,2室2厅,100.1平米,南 北,其他,中楼层(共6层),2009年建,板楼,7,493元/平,75万
沈阳,铁西,2室1厅,71.86平米,南 北,精装,中楼层(共13层),2018年建,板楼,10,270元/平,73.8万
沈阳,铁西,3室2厅,166.59平米,南 北,精装,高楼层(共11层),2006年建,板楼,6,544元/平,109万
沈阳,铁西,3室1厅,121.21平米,南 北,精装,中楼层(共24层),2008年建,板楼,6,848元/平,83万
沈阳,铁西,3室2厅,127.5平米,南 北,精装,中楼层(共7层),2021年建,板楼,9,569元/平,122万
沈阳,铁西,4室2厅,143.15平米,南 北,毛坯,高楼层(共33层),2019年建,板塔结合,15,229元/平,218万
沈阳,铁西,2室2厅,89.18平米,南 北,毛坯,低楼层(共17层),2019年建,板楼,5,944元/平,53万
沈阳,铁西,3室1厅,125.67平米,南 北,毛坯,中楼层(共11层),2016年建,板楼,8,754元/平,110万
沈阳,铁西,2室1厅,74.97平米,南 北,精装,高楼层(共18层),2017年建,板楼,5,336元/平,40万
沈阳,铁西,2室2厅,72.51平米,南,精装,低楼层(共29层),2017年建,板楼,8,275元/平,60万
沈阳,铁西,2室1厅,63.16平米,南 西 北,精装,低楼层(共30层),2014年建,板楼,5,700元/平,36万
沈阳,铁西,2室2厅,96.49平米,北 南,其他,中楼层(共7层),2005年建,板楼,6,011元/平,58万
沈阳,铁西,2室1厅,71.57平米,南,毛坯,中楼层(共29层),2017年建,板塔结合,8,104元/平,58万
沈阳,铁西,3室2厅,128.94平米,南 北,精装,中楼层(共27层),2020年建,板楼,11,479元/平,148万
沈阳,铁西,2室2厅,123平米,北 南,毛坯,低楼层(共34层),2016年建,板楼,8,537元/平,105万
沈阳,铁西,2室2厅,102.9平米,南 北,毛坯,高楼层(共6层),2009年建,板楼,12,634元/平,130万
沈阳,铁西,2室1厅,71.18平米,东 南 西,简装,高楼层(共33层),2017年建,板塔结合,10,116元/平,72万
沈阳,铁西,2室2厅,105.4平米,南 北,精装,中楼层(共7层),2007年建,板楼,8,065元/平,85万
沈阳,铁西,3室1厅,159.36平米,南 北,简装,低楼层(共6层),2012年建,板楼,18,198元/平,290万
沈阳,铁西,4室2厅,112.67平米,南 北,精装,高楼层(共5层),2018年建,板楼,12,870元/平,145万
沈阳,铁西,3室2厅,163.53平米,南,精装,高楼层(共26层),2006年建,板塔结合,13,759元/平,225万
沈阳,铁西,4室2厅,157.37平米,南 北,精装,中楼层(共33层),2018年建,板塔结合,18,301元/平,288万
沈阳,铁西,2室2厅,83.2平米,南 北,简装,中楼层(共6层),2001年建,板楼,6,611元/平,55万
沈阳,铁西,3室1厅,114.2平米,南 北,简装,低楼层(共24层),2013年建,板楼,6,130元/平,70万
沈阳,大东,2室2厅,100.1平米,南 北,其他,中楼层(共6层),2009年建,板楼,7,493元/平,75万
沈阳,大东,2室1厅,71.86平米,南 北,精装,中楼层(共13层),2018年建,板楼,10,270元/平,73.8万
沈阳,大东,3室2厅,166.59平米,南 北,精装,高楼层(共11层),2006年建,板楼,6,544元/平,109万
沈阳,大东,3室1厅,121.21平米,南 北,精装,中楼层(共24层),2008年建,板楼,6,848元/平,83万
沈阳,大东,3室2厅,127.5平米,南 北,精装,中楼层(共7层),2021年建,板楼,9,569元/平,122万
沈阳,大东,4室2厅,143.15平米,南 北,毛坯,高楼层(共33层),2019年建,板塔结合,15,229元/平,218万
沈阳,大东,2室2厅,89.18平米,南 北,毛坯,低楼层(共17层),2019年建,板楼,5,944元/平,53万
沈阳,大东,3室1厅,125.67平米,南 北,毛坯,中楼层(共11层),2016年建,板楼,8,754元/平,110万
沈阳,大东,2室1厅,74.97平米,南 北,精装,高楼层(共18层),2017年建,板楼,5,336元/平,40万
沈阳,大东,2室2厅,72.51平米,南,精装,低楼层(共29层),2017年建,板楼,8,275元/平,60万
